"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3_DIN965_Pad_TopBottom";4;"MountingHole_3.2mm_M3_DIN965_Pad_TopBottom";;;
2;"U8";"ESP32-WROOM-DA";1;"ESP32-WROOM-DA";;;
3;"RN3,RN2,RN1";"R_Array_Concave_2x0603";3;"R_Pack02";;;
4;"Q7,Q6,Q4";"SOT-23-6";3;"Q_DUAL_NMOS_S1G1D2S2G2D1";;;
5;"JP5,JP4,JP3,JP2,JP1";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm";5;"SolderJumper_3_Bridged12";;;
6;"M1";"eink-module";1;"eink-module";;;
7;"J9";"JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal";1;"UART2";;;
8;"J4";"TerminalBlock_Phoenix_PT-1,5-14-3.5-H_1x14_P3.50mm_Horizontal";1;"Screw_Terminal_01x14";;;
9;"SW1,SW2";"SW_SPST_EVQPE1";2;"SW_Push";;;
10;"J6";"SMA_Molex_73251-1153_EdgeMount_Horizontal";1;"Conn_Coaxial";;;
11;"J8";"microSD_HC_Hirose_DM3D-SF";1;"Micro_SD_Card_Det";;;
12;"J12";"JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal";1;"STEMMA 0";;;
13;"J7";"JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal";1;"1-WIRE";;;
14;"J10";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"QWIIC 0";;;
15;"J2";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"LiPo";;;
16;"J5,J1";"USB_C_Receptacle_Amphenol_12401610E4-2A_CircularHoles";2;"USB_C_Receptacle";;;
17;"C16,C15,C12,C11,C9,C5,C4";"C_0805_2012Metric";7;"10 uF";;;
18;"SW3";"L102021ML04Q";1;"SW_SPDT";;;
19;"R3,R18,R19";"R_0805_2012Metric";3;"4.7k";;;
20;"C7,C2";"C_0805_2012Metric";2;"4.7 uF";;;
21;"D5,D4,D3";"LED_0603_1608Metric_Castellated";3;"LED";;;
22;"U7";"DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm";1;"MP2452";;;
23;"U6";"SOT-23-5";1;"MCP73831-2-OT";;;
24;"U5";"Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm";1;"SHTC3";;;
25;"U3";"HOPERF_RFM9XW_SMD";1;"RFM95W-915S2";;;
26;"U2";"SOT-23-5";1;"AP2112K-3.3";;;
27;"U1";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"CP2104";;;
28;"R17,R15,R13";"R_0805_2012Metric";3;"100";;;
29;"R16";"R_0805_2012Metric";1;"124k";;;
30;"R14,R7,R5,R4";"R_0805_2012Metric";4;"10k";;;
31;"R12";"R_0805_2012Metric";1;"39.2k";;;
32;"R11,R10,R6";"R_0805_2012Metric";3;"100k";;;
33;"R9,R8";"R_0805_2012Metric";2;"5.1k";;;
34;"R2";"R_0805_2012Metric";1;"47k";;;
35;"R1";"R_0805_2012Metric";1;"22.1k";;;
36;"Q3";"SOT-23";1;"DMG3415U";;;
37;"Q2,Q1";"SOT-23";2;"Q_NPN_BCE";;;
38;"L1";"L_1008_2520Metric";1;"4.7 uH";;;
39;"D2,D1";"D_SMA";2;"SS24-HF";;;
40;"C14";"C_0805_2012Metric";1;"10 pF";;;
41;"C13,C10,C8,C1";"C_0805_2012Metric";4;"0.1 uF";;;
42;"C6,C3";"C_0805_2012Metric";2;"1 uF";;;
43;"TP1,TP2,TP3,TP5";"TestPoint_Pad_D2.0mm";4;"TestPoint";;;
